 78753245,     719,  972212
 78770561,     720,  956268
 78866665,     721,  955594
 79058874,     723,  955228
 79154978,     724,  949978
 79347187,     726,  948878
 79443291,     727,  948302
 79539395,     728,  946152
 79827708,     731,  943298
 80019916,     733,  941126
 80212125,     735,  940740
 80500437,     738,  939814
 81173167,     745,  938248
 81269271,     746,  938058
 81365375,     747,  936288
 81461480,     748,  935298
 81557584,     749,  933512
 81653688,     750,  933252
 81845897,     752,  931588
 82038105,     754,  930710
