   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
  33,  19,  33,  18,  17,  33,  33,  33,  33,  33,  51,  17,  33,  33,  33,  33,  33,  33,  33,  33
   9,   5,   2,   2,   2,   2,   3,   3,   2,   2,   2,   2,   3,   2,   2,   2,   2,   2,   2,   2
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   1,   1
   5,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   5,   5,   5,   3,   5,   3,   5,   5
  19,   8,   8,  14,  14,  14,  14,  14,  14,  14,  14,  14,  22,  22,  22,  22,  22,  22,  22,  22
  11,   5,   5,   2,   2,   5,   2,   2,   5,   5,   5,   2,  17,  17,  17,  17,  17,  17,  17,  17
   5,  29,  29,  29,  29,  29,  29,  29,  29,  29,  29,  29,  26,  26,  26,  18,  26,  18,  26,  18
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   1,   2,   2,   4,   3,   7,   3,   3,   4,   7,   4,   3,  17,  17,  17,   7,  17,   7,  17,   7
   2,   9,   9,  13,   6,   9,   9,   9,  13,   9,  13,   9,   3,   3,   3,  12,   3,  12,   3,  12
   6,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,  14,   8,  14,   8,  14
  19,   6,   6,   6,  12,   6,  12,  12,   6,   6,   6,  12,  12,  12,  12,  14,  12,  14,  12,  14
   9,  20,  21,  15,  20,  20,  20,  20,  20,  20,  20,  20,  23,  23,  23,  25,  23,  25,  23,  25
   4,   9,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   6,   6,   6,   1,   6,   1,   6,   1
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
  16,  16,  16,  16,  17,  16,  16,  17,  16,  16,  16,  17,  10,  10,  10,  23,  10,  23,  10,  23
  11,  11,  20,  11,  13,  11,  11,  13,  11,  11,  11,  13,  18,  18,  18,  11,  18,  11,  18,  11
  18,  16,  16,  23,  18,  23,  23,  18,  23,  31,  23,  18,  13,  13,  13,  18,  13,  18,  13,  18
   3,   3,   3,   6,   6,   6,   6,   6,   6,   6,   6,   6,  15,  15,  15,  10,  15,  10,  15,  10
  15,  15,  15,  15,  15,  15,  15,  15,  15,  15,  15,  15,   8,   8,   8,   4,   8,   4,   8,   4
  12,   2,   2,   2,   2,   3,   2,   3,   2,   2,   2,   2,   4,   4,   4,   2,   4,   2,   4,   2
  13,  34,  41,  34,  34,  34,  34,  34,  34,  34,  34,  34,   7,   7,  21,   9,   7,   9,   7,   9
  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17
   9,  10,  10,  10,  15,  10,  10,  10,  10,  10,  10,  10,   5,   5,   5,  10,   5,  10,   5,  10
   0,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  27,  27,  27,  19,  27,  19,  27,  19
  12,  35,  35,  45,  35,  35,  35,  35,  35,  35,  35,  35,   1,   1,   6,  35,   1,  35,   1,  35
  19,  16,  16,  16,  16,  21,  16,  21,  16,  16,  16,  16,   7,   7,   7,  16,   7,  16,   7,  16
   0,  24,  24,  18,  18,  18,  18,  18,  18,  18,  18,  18,  14,  14,  14,  18,  14,  18,  14,  18
  16,   0,   0,   5,   0,   5,   5,   5,   5,   0,   5,   0,  33,  33,  33,   5,  33,   5,  33,   5
  17,  12,  12,  12,  12,  12,  12,  12,  12,  12,  12,   0,   9,   9,   9,  12,   9,  12,   9,  12
  16,   5,   5,   5,   5,   5,  12,   5,   5,   5,  12,   5,   9,   9,   9,   5,   9,  19,   9,   5
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  11,  11,  11,   0,  11,   0,  11,   0
   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   6,   6,   9,   4,   6,   4,   6,   4
   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   1,   1,   1,   8,   1,   8,   1,   8
   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   3,   7,   7,   7,   3,   7,   3,   7,   3
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   7,   7,   7,   0,   7,   0,   7,   0
   6,   6,   6,   6,   1,   2,   6,   2,   1,   2,   2,   2,  10,  10,  10,   6,  10,   6,  10,   6
  15,  15,  21,  15,  23,  15,  15,  15,  15,  15,  15,  15,  15,  15,  15,  15,  15,  15,  15,  15
   4,   4,   2,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4
  15,  15,  22,  15,  15,  11,  15,  29,  15,  29,  29,  15,  20,  20,  17,  15,  20,  15,  20,  15
