   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   5,   8,   8,   1,   5,   5,   5,  13,   5,  13,  13,   7,  13,  13,  15,  13,  13,  13,   5,  13
   1,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
  10,   4,   4,   4,   9,   0,   0,  10,   0,  10,  10,   9,  10,  10,   0,  10,  10,  10,   0,  10
  10,  10,  10,  10,   6,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10
   9,   9,   9,   9,   9,  17,  17,   9,  17,   9,   9,   9,   9,   9,  17,   9,   9,   9,  17,   9
  10,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   4,   4,   4,   4,   4,   0,   0,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4
   6,   6,   8,   8,   0,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6
  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17,  17
  14,  14,  14,  14,  21,  21,  21,  19,  21,  19,  19,  19,  19,  19,  21,  19,  19,  19,  25,  19
  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10,  10
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
  20,  10,  10,  10,  14,  10,  10,  13,  10,  13,  13,  13,  13,  13,  10,  13,  13,  13,  10,  13
   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9,   9
   7,   5,   5,   5,   5,   7,   7,   5,   7,   5,   5,   5,   5,   5,   7,   5,   5,   5,   7,   5
   3,   9,   9,   9,   9,   8,   8,   9,   8,   9,   9,  19,   9,   9,   8,   9,   9,   9,   8,   9
   7,  10,  17,  17,   8,   9,   9,   8,   9,   8,   8,   8,   8,   8,   9,   8,   8,   8,   9,   8
   5,   7,   7,   7,  11,   3,   3,   7,   3,   7,   7,   7,   7,   7,   3,   7,   7,   7,   3,   7
